Time,sgwGtpTunnelMgmtS4S11-smCreateSessionReqRcvd__delta,sgwGtpTunnelMgmtS4S11-smCreateSessionRespAccSent__delta,sgwGtpTunnelMgmtS4S11-smCreateSessionRespRejSent__delta,sgwGtpTunnelMgmtS4S11-smModifyBearerReqRcvd__delta,sgwGtpTunnelMgmtS4S11-smModifyBearerRespRejSent__delta,sgwGtpTrafficS5S8-inDataByte,sgwGtpTrafficS5S8-outDataByte,sgwGtpTrafficS1uS4S12-inDataByte,sgwGtpTrafficS1uS4S12-outDataByte,sgwUplinkTraffic-sgwUplinkDroppedPackets__delta,sgwDownlinkTraffic-sgwDownlinkDroppedPackets__delta,sgwGtpTrafficS5S8-inDataPkt,sgwGtpTrafficS5S8-outDataPkt,sgwGtpTrafficS1uS4S12-inDataPkt,sgwGtpTrafficS1uS4S12-outDataPkt,session_success_rate,session_failure_rate,bearer_modification_failure_rate,total_traffic,packet_drop_rate,suspended_ue_ratio,idle_bearer_ratio,connected_ue_ratio
2026-06-02 23:18:01,286073.0,206649.0,79309.0,5531136.0,64.0,43383610547917524,5075737605334947,5075737605279834,43377437970638522,1239.0,1418624.0,38872779661885,17957992970688,17957992970413,38862777154827,0.722364571280757,0.27723343342433576,1.157085994631121e-05,96912523729170827,1.2493125614895283e-08,8.159700448330207e-05,0.7911838504332621,0.20824159966394123
2026-06-02 23:33:01,276772.0,197338.0,79313.0,5366128.0,61.0,43392448710150709,5076555193544375,5076555193506392,43386275196197598,1171.0,1348900.0,38880493900039,17960873401716,17960873401547,38870490044963,0.7129984246961398,0.2865643923518275,1.1367600623764472e-05,96931834293399074,1.1876823853117528e-08,5.78167482947863e-05,0.7995582825785443,0.19992270813649013
2026-06-02 23:48:01,267094.0,187304.0,78941.0,5152612.0,50.0,43400874443340334,5077328510873794,5077328510841768,43394699992568845,675.0,1243551.0,38887820346977,17963573346860,17963573346690,38877815249117,0.7012662208810382,0.2955551229155279,9.70381623922003e-06,96950231457624741,1.094375539891536e-08,6.124908317778619e-05,0.8074497880462324,0.19204190662271023
2026-06-03 00:03:04,261211.0,182799.0,78292.0,5013323.0,60.0,43408868290656904,5078061653444859,5078061653407222,43402692970261340,1870.0,1129498.0,38894750796105,17966108662799,17966108662608,38884744570042,0.6998135606846573,0.2997270405917056,1.196810977469435e-05,96967684567770325,9.949441207247184e-09,5.5539185209297875e-05,0.8113979767031912,0.18814978918250946
2026-06-03 00:18:01,252534.0,175206.0,76967.0,4844625.0,40.0,43416256980348595,5078742692180351,5078742692144617,43410080919283711,789.0,972582.0,38901144781531,17968445105555,17968445105427,38891137584193,0.6937917270545748,0.30477876246366825,8.256573006166628e-06,96983823283957274,8.558674770481586e-09,6.5125871252355e-05,0.8243764886669228,0.17514982826927997
2026-06-03 00:33:01,248628.0,171376.0,77058.0,4652202.0,33.0,43423201576285083,5079362750579441,5079362750557203,43417024788555779,566.0,920467.0,38907135548480,17970595764088,17970595763972,38897127431526,0.6892868059912801,0.30993291182006855,7.093415118260127e-06,96998951865977506,8.097316978364942e-09,5.145227956985894e-05,0.8347146761169566,0.164899878541437
2026-06-03 00:48:01,242320.0,164039.0,78167.0,4438032.0,35.0,43429556293790506,5079923111683830,5079923111654088,43423378842778687,1142.0,857781.0,38912606225388,17972538990657,17972538990520,38902597251557,0.6769519643446682,0.3225775833608452,7.886378466851975e-06,97012781359907111,7.550288984791155e-09,2.820087798733467e-05,0.8438275188684224,0.15569861408351846
2026-06-03 01:03:03,241389.0,162102.0,79206.0,4323973.0,24.0,43435495356000265,5080435936983488,5080435936966962,43429317319862053,499.0,730953.0,38917700859388,17974334907987,17974334907887,38907691155252,0.6715384710985173,0.3281259709431664,5.550450939448512e-06,97025684549812768,6.428987312500307e-09,0.00019370383785571426,0.8497298326257335,0.14984802910282052
2026-06-03 01:18:02,240320.0,159212.0,81010.0,4259900.0,18.0,43441113293914571,5080918325125839,5080918325122785,43434934685063187,1114.0,709683.0,38922511483892,17976006417335,17976006417256,38912501070857,0.6625,0.3370922103861518,4.2254513016737485e-06,97037884629226382,6.246731536991125e-09,0.0002786013578650271,0.8578189984505655,0.14180334226651703
2026-06-03 01:33:01,235043.0,155208.0,79717.0,4106714.0,17.0,43446093043340087,5081364233346941,5081364233326069,43439913926000993,387.0,613918.0,38926769130241,17977517075405,17977517075312,38916758103927,0.6603387465272312,0.3391592176750637,4.139562677118494e-06,97048735436014090,5.398178962230655e-09,0.000281130876747141,0.8642374468018156,0.13531289707750954
2026-06-03 01:48:01,230191.0,154178.0,75918.0,4108864.0,24.0,43450625554666982,5081771038655427,5081771038637462,43444445583119278,424.0,1761276.0,38930643435137,17978875416064,17978875415958,38920630648165,0.6697829194017142,0.3298043798410885,5.841030513543403e-06,97058613215079149,1.547944024044435e-08,0.00027410402247652986,0.8703553156862033,0.12913008626308567
2026-06-03 02:03:01,229141.0,154615.0,74393.0,4046944.0,33.0,43454716253830106,5082132407818203,5082132407790431,43448535786377545,452.0,556154.0,38934131494173,17980096904987,17980096904897,38924118151230,0.6747592093950886,0.3246603619605396,8.154301122031834e-06,97067516855816285,4.890297065243735e-09,0.000289305140201107,0.8719106531603563,0.12751803362013436
2026-06-03 02:18:01,227850.0,153179.0,74583.0,3993668.0,19.0,43458396306045466,5082466792849876,5082466792839444,43452215378553813,488.0,511520.0,38937271249825,17981202325799,17981202325724,38927257396043,0.6722800087777047,0.32733377221856486,4.757531171845031e-06,97075545270288599,4.4981269824980485e-09,0.00021778747145542884,0.8802031197699118,0.11922422821564803
2026-06-03 02:33:01,228538.0,152901.0,75479.0,3920038.0,11.0,43461708550723859,5082764659663544,5082764659650468,43455527206849267,441.0,463049.0,38940101345250,17982202521883,17982202521846,38930087028611,0.6690397220593511,0.330268926830549,2.8060952470358705e-06,97082765076887138,4.071609394691969e-09,0.0001847766532288515,0.8852041587691113,0.11424499456113939
2026-06-03 02:48:01,222855.0,147544.0,74916.0,3784089.0,9.0,43464618657979801,5083031920545646,5083031920536465,43458436950246840,314.0,423994.0,38942592048553,17983094588579,17983094588533,38932577308290,0.6620627762446434,0.336164770815104,2.378379578281589e-06,97089119449308752,3.7271867225077375e-09,0.00013044381495014952,0.8886661179803238,0.11071459054330654
2026-06-03 03:03:01,227657.0,152322.0,75014.0,3793015.0,9.0,43467328918886319,5083289612636094,5083289612625090,43461146809324710,448.0,435029.0,38944911183002,17983938970143,17983938970088,38934896008057,0.6690855102193212,0.3295044738356387,2.3727826017033942e-06,97095054953472213,3.825084361599488e-09,0.00013873071078518355,0.8891376037732232,0.1102312286056273
2026-06-03 03:18:02,230956.0,153473.0,77373.0,3824366.0,19.0,43469711383878585,5083532864100314,5083532864092184,43463528869591768,259.0,461730.0,38946964726086,17984707145075,17984707145041,38936949089459,0.6645118550719618,0.3350118637316199,4.9681437393805925e-06,97100305981662851,4.057755778304991e-09,0.00011152867014183537,0.8931885570832987,0.10617852669010384
2026-06-03 03:33:01,231098.0,153820.0,77162.0,3797013.0,15.0,43471861018894305,5083769250427947,5083769250419887,43465678150620568,300.0,390465.0,38948820485424,17985417691047,17985417691018,38938804458805,0.6656050679798181,0.3338929804671611,3.950473701301523e-06,97105077670362707,3.4320242771608807e-09,0.0001116141837363576,0.8957412036146895,0.10365398956002983
2026-06-03 03:48:01,222199.0,147709.0,74385.0,3730287.0,24.0,43473914892782685,5083990044330956,5083990044328178,43467731726954318,293.0,348061.0,38950588833772,17986089094197,17986089094157,38940572459477,0.664759967416595,0.3347674832019946,6.43382131187225e-06,97109626708396137,3.059404384115081e-09,7.45291700690853e-05,0.8970854464916223,0.10229452631851824
2026-06-03 04:03:01,226123.0,151515.0,74513.0,3736615.0,17.0,43475920333823819,5084206147966594,5084206147973957,43469736860129754,451.0,354096.0,38952316434216,17986740367156,17986740367142,38942299705533,0.6700556776621573,0.32952419700782315,4.549572273300835e-06,97114069489894124,3.1136640528222346e-09,0.00013302122012903058,0.8977665659746771,0.101564945988518
2026-06-03 04:18:01,229561.0,153066.0,76396.0,3746024.0,19.0,43477833662007786,5084408617338562,5084408617333530,43471649882646010,323.0,354853.0,38953962848783,17987360593051,17987360593022,38943945765976,0.6667770222293856,0.3327917198478836,5.072044386261273e-06,97118300779325888,3.1190638226342686e-09,0.00010553198674518246,0.8995775664806158,0.0997829288211103
